;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
oceanic;Тихоокеанская;;;;;;;;;;;;;;;;;;;;;!;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
levantine;Греко-Кауказская;;;;;;;;;;;;;;;;;;;;;!;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
turko_semitic;Тюркская;;;;;;;;;;;;;;;;;;;;;!;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
polish_culture_group;Западнославянская;;;;;;;;;;;;;;;;;;;;;!;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_GREATER;Коэффициент сравнения бригад двух стран не менее §Y$VAL$§!\n;;;;;;;;;;;;;;;;;;;;;;!;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRIGADES_COMPARE_SMALLER;Коэффициент сравнения бригад двух стран менее, чем §Y$VAL$§!\n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jewish_group;Иудейская ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
muslim;Мусульманская;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
christian;Христианская;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eastern;Восточные религии;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pagan;Языческая;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jefferson_method_desc;Метод Джефферсона - это метод наивысшего среднего, который предоставляет места в парламенте согласно полученному определенной партией числу голосов, при этом доля полученных голосов и полученных мест максимально близки.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
precious_goods;Драгоценные товары;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
precious_goods_RGO_SIZE;Размер рынка драгоценных товаров;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARTY_LOYALTY_EFFECT_DESC;Лояльность к §Y$PARTY$§W в провинции §Y$PROV$§W будет изменена на §Y$VALUE$§W.\n;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;
MODIFY_RELATION_EFFECT;Наши отношения с §Y$TARGET$§! должны быть не ниже §G$MIN$§!. Сейчас они на уровне §Y$VAL$§!.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IS_NOT_ACCEPTED_CULTURE;НЕ является принятой культурой.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
