unlock_crisis_in_1870_title;Разблокировать кризис в 1870;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unlock_crisis_in_1870_desc;По умолчанию в HPM кризис разблокировался после исследования одной из стран Революции и Контрреволюции. В последней версии это было изменено с целью избежать Великих войн во время схватки за Африку до 1886 года. Примите это решение, чтобы вернуть предыдущую систему.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pick_AI_personality_title; $COUNTRY_ADJ$ $MONARCHTITLE$ Личность;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pick_AI_personality_desc;$COUNTRY_ADJ$ $MONARCHTITLE$ показывает себя сильной личностью;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
take_eisenstadt_title;Вернуть Айзенштадт;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
take_eisenstadt_desc;Айзенштадт является неотъемлимой частью Австрии - пора его вернуть.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
south_tirol_compromise_title;Созвать конвенцию по вопросу о Южном Тироле;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
south_tirol_compromise_desc;Южный Тироль испокон веков делится на немецкий Север и итальянский Юг, с меньшинствами в обеих провинциях. Это был большой источник проблем для наших немецких соседей, который  $ CAPITAL $ стремится решить. Мы можем пригласить наших соседей на конвенцию, направленную на поиск решения этой проблемы. Хотя конвенция и не гарантирует результата, это наилучший шанс  решить этот вопрос мирным путем.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
turn_canada_french_title;Французская Канада;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
turn_canada_french_desc;Канада находится под нашим господством, и франкоканадцы снова являются частью $ COUNTRY $. Мы должны вернуть им власть над Канадой, чтобы ослабить влияние англосаксов.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
