EVTNAME97084;Андская война на Тихом океане;The Andean War in the Pacific;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
EVTDESC97084;Народы Андского находятся в состоянии войны из-за территориального спора. Как влиятельной силы в регионе, мы можем выбрать, чтобы вмешаться или остаться нейтральным в этом споре.;The Andine nations are in a state of war due to a territorial dispute. As an influential power in the region, we can choose to intervene or remain neutral in this dispute.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
EVT97084OPTA;Мы не должны вмешиваться.;We shall not interfere.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
EVT97084OPTB;Мы уже выбрали сторону.;We already picked a side.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
EVTNAME90058;Шлезвигская Война;The Schleswig War;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
EVTDESC90058;Датчане воюют с немцами из-за интервенции в Шлезвиг. Если мы поможем нашим скандинавским братьям, это поможет укрепить связь между нашими странами, а если откажется, то это может серьезно затруднить наши усилия в унификации Скандинавии.;The Danish are fighting the Germans in their intervention in Schleswig. Helping our Scandinavian brothers will help strengthen the bound between our countries, while failing to help them might gravely hamper our efforts for an united Scandinavia.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
EVT90058OPTA;Мы поможем.;We will help.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
EVT90058OPTB;Мы не будем ввязываться.;We will not get involved.;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
EVTNAME199073;Чайные плантации в $PROVINCENAME$;Tea Plantations in $PROVINCENAME$;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;
EVTDESC199073;Роберт Форчун, одетый в китайский традиционный костюм,  со своим слугой Ван вошли в ворота зеленого чайной плантации. Ван начал лихорадочно молиться. Разрешит ли хозяин плантации провести инспекцию посетителем, заслуженным и мудрым чиновником, который приехал из далекой провинции, чтобы увидеть, как такой славный чай был сделан? В 1848 году британская Ост-индтская компания направила Роберту денег на поездку в китайскую глубинку, в регион, запрещенный для иностранцев. Миссия Форчуна заключалась в том, чтобы украсть секреты выращивания и производства чая. Шотландец нацепил маску и отправился в Ву Си-Шан в качестве шпиона. Результаты его миссии сегодня можно увидеть в провинции $PROVINCE$, где первые чайные плантации дают свой первый урожай.;With his servant Wang walking five paces ahead to announce his arrival, Robert Fortune, dressed in his mandarin garb, entered the gates of a green tea factory. Wang began to supplicate frantically. Would the master of the factory allow an inspection from a visitor, an honoured and wise official who had travelled from a far province to see how such glorious tea was made? In 1848, the British East India Company sent Robert Fortune on a trip to China's interior, an area forbidden to foreigners. Fortune's mission was to steal the secrets of tea horticulture and manufacturing. The Scotsman donned a disguise and headed into the Wu Si Shan hills in a bold act of corporate espionage. The results can be seen today in $PROVINCE$, where the first tea plantations are yielding their first harvest.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA199073;У Китая не должно быть монополии на чай.;Tea shouldn't be a monopoly.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA23401;Да, это отличная возможность показать успехи нашей страны. §R(заплатить или одолжить 10,000¤)§W;Yes, it is an excellent opportunity to show our nation's progress. §R(Pay or owe 10,000¤)§W;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTOPTA23400;Отличная идея! Мы принимаем. §R(заплатить или одолжить 50,000¤)§W;An excellent idea! We accept. §R(Pay or owe 50,000¤)§W;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x
EVTNAME44157;Иностранное влияние в Гавайи;Foreign Influence in Hawaii;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC44157;Когда американские миссионеры впервые приехали в нашу страну в 1820-х годах, мало кто мог предвидеть, что их деятельность приведет к. Они распространяют свою религию, помогли наши люди умеют читать и писать, и принесли с собой свои семьи и других людей, которые поселились в $COUNTRY$. $CAPITAL$ стал важным портом для торговли, часто посещаемых европейцами во время их путешествия через Тихий океан, и монархия получила доступ к предметам роскоши и технологий наш народ никогда не мечтал. Но с добром пришли плохие: заболеваний, ранее неизвестных распространение и разоренное население, растущее интересы в Тихоокеанском регионе привело к французский адмирал мешковиной $CAPITAL$, введение частной собственности на плантации сахарного привело к конкуренции между иностранцами и гавайцев и американских растущее влияние кульминацией давления на реформы, ведущие к радикальным изменениям в Гавайской монархии. Больше иностранцев прибывают в упадок гавайцы и великие державы из-за рубежа зарятся на Гавайи.;When the American missionaries first came to our shores in the 1820's, few could foresee what their activity would lead to. They spread their religion, helped our people read and write, and brought with them their families and other outsiders that settled in $COUNTRY$. $CAPITAL$ became an important port for trade, frequently visited by Europeans during their voyages through the pacific, and the monarchy gained access to luxury items and technologies our people never dreamt of. But with the good came the bad: diseases previously unknown spread and devastated the population, growing interests in the Pacific led to a French Admiral sacking $CAPITAL$, the introduction of private property for the plantation of sugar led to competition between foreigners and Hawaiians and the American growing influence culminated in pressure for reforms, leading to sweeping changes to the Hawaiian monarchy. More foreigners arrive as the Hawaiians decline and the Great Powers from overseas set their eyes on Hawaii.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT44157OPTA;Что ждет в будущем за $COUNTRY_ADJ$ люди?;What does the future hold for the $COUNTRY_ADJ$ people?;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME11002;$MONARCHTITLE$ская речь;The $MONARCHTITLE$'s Speech;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC11002;В этот трудный час, возможно, самый роковой в нашей истории, я хочу обратиться ко всем моим народам, как дома, так и за рубежом, это сообщение, произносимое с той же глубиной чувств к каждому из вас, как если бы я мог переступить порог вашего дома и поговорить с вами сама. Это для высокой цели, я призываю свой народ на родине и мой народ через моря, которые будут делать наше дело их собственных. Я прошу их оставаться спокойными, сосредоточенными и собранными в этот момент\.$COUNTRY_ADJ$ турецкие сериалы на русском языке$ $MONARCHTITLE$ доставлены сегодня невозмутимый речь в $CAPITAL$, только начало кампании, чтобы заручиться поддержкой среди населения и правительства к своей цели...;In this grave hour, perhaps the most fateful in our history, I send to every household of my peoples, both at home and overseas, this message, spoken with the same depth of feeling for each one of you as if I were able to cross your threshold and speak to you myself. It is for a high purpose that I now call my people at home, and my peoples across the seas, who will make our cause their own. I ask them to stand calm and firm and united in this time of trial.\nThe $COUNTRY_ADJ$ $MONARCHTITLE$ delivered an impassionate speech today in $CAPITAL$, just the start of a campaign to gather support among the population and the government for their goal of...;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA11002;...заручиться поддержкой для войны.;...drum up support for war.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB11002;...повышения популярности правительства.;...boosting the government's popularity.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME11001;Роспуск $COUNTRY_ADJ$ верхней палаты;The Dissolution of the $COUNTRY_ADJ$ Upper House;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC11001;Министры и чиновники прибыли в $CAPITAL$ сегодня найти королевским указом в двери правительства: $COUNTRY_ADJ$ монарх распустил $COUNTRY_ADJ$ верхней палаты, вступает в силу немедленно, и новый ставленник монарха. Новость вызвала шок в $COUNTRY_ADJ$ дворянства - используется для случайной замены, но не до такой судьбоносной и радикальном объеме. Недовольство свирепствует, многие спекулируют (за закрытыми дверями), что монарх создает мелкие дворяне, в основном лизоблюды и подхалимы, чтобы выполнить прихоти короны. Лишь несколько старых слуг короны в благородство сохранили свои позиции для того, чтобы тренировать и обучать новичков, но там уже свидетельствует о прочных нарушения в делах государства. Новые верхние палаты имеют большинство...;Ministers and bureaucrats arrived in $CAPITAL$ today to find a royal decree at the government's doors: the $COUNTRY_ADJ$ monarch has dissolved the $COUNTRY_ADJ$ Upper House, effective immediately, and a new one is to be handpicked by the monarch. The news sent shockwaves through the $COUNTRY_ADJ$ nobility - used to the occasional replacements, but not to such an earthshattering and drastic extent. Dissatisfaction is rampant, with many speculating (behind closed doors) that the monarch is setting up minor nobles, mostly sycophants and toadies, to execute the whims of the crown. A few of the old servants of the crown in the nobility kept their positions in order to train and guide the newcomers, but there's already evidence of lasting disruption in the state's affairs. The new upper house is set to have a majority of...;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTA11001;...либеральных дворян.;...liberal nobles.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTB11001;...реакционных аристократов.;...reactionary aristocrats.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTOPTC11001;...социалистически настроенные дворяне.;...socialist-minded nobles.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME169002;Насильственное лишение Директива № 1;Forceful Revocation of Directive No 1;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC169002;Состоялась в радикальные изменения $CAPITAL$, что привело к насильственной отмене Директива № 1.;Sweeping changes took place in $CAPITAL$ that led to the forceful revocation of Directive No 1.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT169002OPTA;Новые начинания за $COUNTRY_ADJ$ людей.;New beginnings for the $COUNTRY_ADJ$ people.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME169001;Сотни тысяч убитых в $COUNTRY_ADJ$ резне;Hundreds of Thousands Killed in $COUNTRY_ADJ$-led Massacre;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC169001;"На протяжении нескольких дней в этом правительстве я узнал несколько секретов и наткнулся на что-то интересное. Приказ о депортации был выдан через официальные каналы министра внутренних дел и отправлен в провинцию. Следуя этой целью Центральный комитет распространил свои зловещие, чтобы все стороны, чтобы позволить банд для выполнения своих жалких задач. Таким образом бандиты были в поле, готов к своей жестокой бойни... ""миссия"" в циркуляре было: атаковать конвои и убивают население... мне стыдно, как $COUNTRY_ADJ$. Какое пятно на репутации $COUNTRY$, эти преступные люди,...\ПВ первых рук отчет $COUNTRY_ADJ$ перебежчик сделал заголовки газет одной из великих держав. Вскоре, дополнительные доказательства начали появляться в $CAPITAL$, высокопоставленные правительственные чиновники пытаются содержать повреждения убийственном докладе.";During my few days of service in this government I've learned of a few secrets and have come across something interesting. The deportation order was issued through official channels by the minister of the interior and sent to the provinces. Following this order the Central Committee circulated its own ominous order to all parties to allow the gangs to carry out their wretched task. Thus the gangs were in the field, ready for their atrocious slaughter... The 'mission' in the circular was: to attack the convoys and massacre the population... I am ashamed as a $COUNTRY_ADJ$. What a stain on the reputation of $COUNTRY$, these criminal people...\nThe first-hand report of a $COUNTRY_ADJ$ defector made the newspapers headlines of one of the Great Powers. Soon, more evidence started to appear: in $CAPITAL$, senior government officials scramble to contain the damage of the damning report.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT169001OPTA;Это не улучшает наш имидж.;This does not improve our image.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME169000;Массовые захоронения найдены в $STATENAME$;Mass Graves Found in $STATENAME$;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC169000;Братских могил, где нашли в $PROVINCENAME$, кровавый результатом $COUNTRY_ADJ$ продувки против его предполагаемых врагов. На протяжении всего $STATENAME$, такая же ситуация. В $CAPITAL$, $COUNTRY_ADJ$ власти, отрицая это, пока они пытаются скрыть эту информацию протекать за пределами $COUNTRY$. Они говорят, что это может повредить $COUNTRY_ADJ$ репутации и лучше справляться с этими проблемами сами. Проведения правительственного расследования не удалось найти виновных.;Mass graves where found in $PROVINCENAME$, the bloody result of a $COUNTRY_ADJ$ purge against its perceived enemies. Throughout the whole of $STATENAME$, the situation is the same. In $CAPITAL$, $COUNTRY_ADJ$ authorities are denying any knowledge of this while they try to suppress this information leaking outside of $COUNTRY$. They say it would damage the $COUNTRY_ADJ$ reputation and is best to deal with these matters internally. An ongoing government investigation has failed to find any culprits.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT169000OPTA;Кто мог совершить такую мерзость?;Who could be responsible for such an abomination?;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
constitutional_crisis;Конституционный Кризис;Constitutional Crisis;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
constitutional_crisis_desc;Конституционные нормы были нарушены, оставляя обе палаты и правительство в плохой позиции.;Constitutional rules were broken, leaving both Houses and the government in a bad position.;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME6016818;Конституционный Кризис;Constitutional Crisis;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC6016818;"Бесчисленные спокойно, организованно, спокойно, мирно, но твердо попросил своих правителей, чтобы вершить правосудие: и их правители были глухи к этой акции. Бесчисленные попросил разрешения рассказывать о своих обидах, и защищать свои претензии на право, а "" дом "" был решен, они не должны быть услышаны! Бесчисленное количество рабов-класса Холден в Оливковую ветвь мира и стремились принцип равенства перед законом и привилегированных отказались заключать договор! Один и тот же класс быть рабом класс по-прежнему. Предположение о неполноценности до сих пор сохраняется. Люди не должны быть свободными\.при этом $COUNTRY_ADJ$ монарх обещал народу право голоса, они ожидали, что их голоса должны быть услышаны, а монарх отменил результаты выборов. В $CAPITAL$, толпа шумит за их права соблюдались. Это вопиющее игнорирование $COUNTRY_ADJ$ Конституции распространяется беспорядки, блокировка правительства и повредить нашей международной репутации.";Countless have quietly, orderly, soberly, peaceably but firmly asked of their rulers to do justice: and their rulers have turned a deaf ear to that protest. Countless asked permission to detail their wrongs, and enforce their claims for RIGHT, and the 'House' has resolved they should not be heard! Countless of the slave-class have holden out the olive branch of peace and sought the principle of EQUALITY BEFORE THE LAW - and the privileged have refused to enter into a treaty! The same class is to be a slave class still. The assumption of inferiority is still to be maintained. The people are not to be free.\nWhen the $COUNTRY_ADJ$ monarch promised the people the right to vote, they were expecting their voices to be heard - instead, the monarch overruled the election results. In $CAPITAL$, a crowd clamours for their rights to be respected. This blatant disregard of the $COUNTRY_ADJ$ constitution is spreading unrest, locking the government and damaging our international reputation.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT6016818OPTA;Игнорировать сброду, что.;Ignore the rabble-rousers.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME33045;В $FROMCOUNTRY_ADJ$ ослабевающее влияние;The $FROMCOUNTRY_ADJ$ Waning Influence;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC33045;$FROMCOUNTRY$ - это снятие своих дипломатов из $CAPITAL$ и сворачивают свои дипломатические операции в $COUNTRY$. Причина, кажется, зарождающейся Северо-Германского союза и $FROMCOUNTRY_ADJ$ стремлением поддерживать хорошие отношения с ними. Похоже, что будущее Германии лежит в руках Северной Германии.;$FROMCOUNTRY$ is removing their diplomats from $CAPITAL$ and scaling down their diplomatic operations in $COUNTRY$. The reason seems to be the nascent North German Federation and the $FROMCOUNTRY_ADJ$ desire to maintain good relations with them. It seems like the future of Germany lies at the hands of the North German Federation.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT33045OPTA;Что ждет в будущем?;What does the future hold?;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME33044;Мир $CAPITAL$;The Peace of $CAPITAL$;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC33044;Кажется, что создание Северного-под руководством немецких государства неизбежен. С образованием Северо-германского Федерации, позицию в качестве главной силы в Германии быстро идет на убыль. Мы можем принять эти изменения и попытаться работать вместе с севером Германии, или мы можем попытаться противостоять этому изменению.;It seems the creation of a Northern-led German state is inevitable. With the formation of the North German Federation, out position as the main power in Germany is quickly waning. We can accept this change and try to work together with the North German Federation, or we can try and resist this change.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT33044OPTA;Это время мы смотрим на восток и на Балканы.;It's time we look eastwards and to the Balkans.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT33044OPTB;Никогда! Германия должна быть под $COUNTRY_ADJ$ правилом.;Never! Germany should be under $COUNTRY_ADJ$ rule.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME85032;Корейская монархия сбежит в Пхеньян;Korean Monarchy Flees to Pyongyang;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC85032;Наши войска ворвались в Сеул, но Чосон монархов, где нигде не найти. Они бежали на север в Пхеньян и пообещал бороться с COUNTRY_ADJ $$ сил до конца.;Our forces raided Seoul but the Joseon monarchs where nowhere to be found. They fled north to Pyongyang and vowed to fight the $COUNTRY_ADJ$ forces to the end.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT85032OPTA;Раздавить Чосон!;Crush the Joseon!;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME96124;Кувейт становится $FROMCOUNTRY_ADJ$ протекторат;Kuwait Becomes a $FROMCOUNTRY_ADJ$ Protectorate;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC96124;Хотя Кувейт де-факто независимость с момента своего рождения в начале 18 века, его руководители признали, в разные периоды номинальный сюзеренитет Османов или ваххабитских имамов в Эр-Рияд. Несколько лет назад, Мухаммед ибн Сабаху удалось о вождях княжества. Новый правитель был некомпетентный человек, и, следовательно, дела государства постепенно перешли в руки его хитрый шурин, один Юсуф бин Абдулла аль-Ибрагим, который был согнут на политику $COUNTRY_ADJ$низации княжества. В единокровный брат Мухаммеда Мубарака, патриотической партии в Кувейте нашли лидером выдающихся способностей и далеко идущими амбициями и достаточно скоро Мубарака убили правящего вождя и захватили власть для себя. Боясь $COUNTRY_ADJ$ интервенцию в Кувейт, Мубарак вступил переговоры с $FROMCOUNTRY_ADJ$ резиденту в Персидском заливе, кто воспользовался этой возможностью и убедил Мубарака, чтобы стать $FROMCOUNTRY_ADJ$ протекторат.;Though Kuwait enjoyed a de facto independence since its birth early in the 18th century, its chiefs acknowledged at different periods the nominal suzerainty of the Ottomans or the Wahhabi Imams of Riyadh. A few years ago, Mohammed bin Sabah succeeded to the chieftainship of the principality. The new ruler was an incompetent person and consequently affairs of the state gradually drifted into the hands of his shrewd brother-in-law, one Yusuf bin Abdullah Al-Ibrahim, which was bent upon a policy of $COUNTRY_ADJ$izing the principality. In Mohammed's half-brother, Mubarak, the patriotic party in Kuwait found a leader of outstanding ability and far-reaching ambitions and soon enough Mubarak assassinated the ruling chief and seized power for himself. Fearing $COUNTRY_ADJ$ intervention in Kuwait, Mubarak entered talks with the $FROMCOUNTRY_ADJ$ Resident in the Gulf who seized this opportunity and convinced Mubarak to become a $FROMCOUNTRY_ADJ$ protectorate.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT961224PTA;Коварный $FROMCOUNTRY_ADJ$!;Perfidious $FROMCOUNTRY_ADJ$!;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTNAME96123;Установление протектората над Кувейтом;Establishing a Protectorate Over Kuwait;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVTDESC96123;Хотя Кувейт де-факто независимость с момента своего рождения в начале 18 века, его руководители признали, в разные периоды номинальный сюзеренитет Османов или ваххабитских имамов в Эр-Рияд. Несколько лет назад, Мухаммед ибн Сабаху удалось о вождях княжества. Новый правитель был некомпетентный человек, и, следовательно, дела государства постепенно перешли в руки его хитрый шурин, один Юсуф бин Абдулла аль-Ибрагим, Turcophil вознамерились политику Ottomanizing княжества. В единокровный брат Мухаммеда Мубарака, патриотической партии в Кувейте нашли лидером выдающихся способностей и далеко идущими амбициями и достаточно скоро Мубарака убили правящего вождя и захватили власть для себя. Во-первых, $COUNTRY_ADJ$ резиденту в Персидском заливе не обращал особого внимания на эти события, но как их соседи покусились на Кувейт и влияние России растет в Леванте и, возможно, на Стамбул, резидент начал слушать и построить $COUNTRY_ADJ$ отношения с Мубараком. Наконец, предложение составила $CAPITAL$: Мубарак предложил стать $COUNTRY_ADJ$ протекторат в обмен на защиту и некоторую автономию.;Though Kuwait enjoyed a de facto independence since its birth early in the 18th century, its chiefs acknowledged at different periods the nominal suzerainty of the Ottomans or the Wahhabi Imams of Riyadh. A few years ago, Mohammed bin Sabah succeeded to the chieftainship of the principality. The new ruler was an incompetent person and consequently affairs of the state gradually drifted into the hands of his shrewd brother-in-law, one Yusuf bin Abdullah Al-Ibrahim, a Turcophil bent upon a policy of Ottomanizing the principality. In Mohammed's half-brother, Mubarak, the patriotic party in Kuwait found a leader of outstanding ability and far-reaching ambitions and soon enough Mubarak assassinated the ruling chief and seized power for himself. At first, the $COUNTRY_ADJ$ Resident in the Gulf didn't pay much attention to these events but as their neighbours encroached on Kuwait and as Russian influence grows in the Levant and possibly on Istanbul, the Resident started to listen and build $COUNTRY_ADJ$ relations with Mubarak. Finally, the offer came to $CAPITAL$: Mubarak offered to become a $COUNTRY_ADJ$ protectorate in exchange for protection and some autonomy.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT961223PTA;Мы предлагаем нашим щедрым защиты.;We will offer our generous protection.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVT96123OPTB;Мы не хотим ввязываться.;We don't want to get involved.;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;
