;;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
benefactor_ai;Мудрый правитель;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
desc_benefactor_ai;Правитель этой страны мудр и не воинственен. ;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
malevolent_ai;Злобный правитель;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
desc_malevolent_ai;Правитель этой страны злой и воинственный.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
picking_personality;Личность правителя.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
desc_picking_personality;Личность правителя этой страны была выбрана.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
government_busy_with_something;Деятельное правительство;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
evidence_of_massacre2;Утечка доказательств резни;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
evidence_of_massacre2_desc;Ужасные доказательства убийств, происходящих в нашей стране, сильно сказались на нашей репутации.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
evidence_of_massacre;Утечка доказательств резни;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
evidence_of_massacre_desc;Ужасные доказательства убийств, происходящих в нашей стране, сильно сказались на нашей репутации.;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
local_tractors;Тракторы и траулеры;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;;
desc_local_tractors;Технологии механизированное сельского хозяйства и рыболовства дошли до этой провинции в виде тракторов и рыболовных траулеров, что повышает эффективность и снижает трудоемкость местного сельского хозяйства.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
interment_camps;Директива №1;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
interment_camps_desc;Директива № 1 - это название ряда мер, которые наша страна в настоящее время предпринимает для подавления внутренних разногласий.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
war_propaganda;Военная пропаганда;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
war_propaganda_desc;Наша страна в настоящее время проводит широкомасштабную пропагандистскую кампанию, подталкивая людей к поддержке нашей военной политики.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
government_propaganda;Правительственная пропаганда;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
government_propaganda_desc;В настоящее время в нашей стране проводится масштабная пропагандистская кампания, подталкивающая людей к поддержке нашей государственной политики.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
war_focus;Война в центре внимания;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
war_focus_desc;Эта война ради одной цели и только одной.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
loyal_vassal;Верный вассал;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
loyal_vassal_desc;Мы будем поддерживать наших защитников.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
substate_nation_player;Подневольное государство;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
in_disrepair;Ветхость;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
in_disrepair_desc;Зданиями в этой провинции пренебрегали так долго, что они разваливаются.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
nationalization_in_progress;Национализация;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
nationalization_in_progress_desc;Наше правительство в настоящее время предпринимает усилия по национализации. Иностранцы больше не будут господствовать в нашей суверенной индустрии.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
factories_nationalized;Национализированные фабрики;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
factories_nationalized_desc;Наши заводы в другой стране были национализированы. Это удар по престижу нашей страны.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
santa_ana_rule;Антонио Лопес де Санта-Анна;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
santa_ana_rule_desc;Антонио де Падуя Марна Северино Лепес де Санта Анна и Перез де Лебрин - также известный как Санта Анна - является нынешним правителем Мексики. Будучи героем войны за независимость, его изменчивые политические взгляды и действия сделали его загадочной фигурой.;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
forceful_back_to_africa;Закон о возвращении в Африку;;;;;;;;;;;;;;;;;;;x,,,,,;;;;;;;;;;;;;;;;;;;;;
